link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/%C4%90%E1%BA%B7c+s%E1%BA%A3n+Ho%C3%A0ng+T%C3%ADn+-+B%C3%A1nh+tr%C3%A1ng+cu%E1%BB%91n+th%E1%BB%8Bt+heo/data=!4m7!3m6!1s0x314219cb3bb29bfb:0x53754b77dfd04574!8m2!3d16.0639902!4d108.2229806!16s%2Fg%2F11cm7554_w!19sChIJ-5uyO8sZQjERdEXQ33dLdVM?authuser=0&hl=vi&rclk=1,Đặc sản Hoàng Tín - Bánh tráng cuốn thịt heo,4.1,415,Nhà hàng,12 Lê Hồng Phong,
https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+Tr%E1%BA%A7n+-+04+L%C3%AA+Du%E1%BA%A9n/data=!4m7!3m6!1s0x31421831a9a51277:0x2adf1758b38b9a5!8m2!3d16.0717867!4d108.2228567!16s%2Fg%2F11fx7sl7qz!19sChIJdxKlqTEYQjERpbk4i3XxrQI?authuser=0&hl=vi&rclk=1,Ẩm Thực Trần - 04 Lê Duẩn,3.8,2039,Nhà hàng,04 Đ. Lê Duẩn,
https://www.google.com/maps/place/C%C6%A1m+G%C3%A0+H%E1%BB%93ng+Ng%E1%BB%8Dc/data=!4m7!3m6!1s0x314218312441fa11:0xbf8f09994a65138c!8m2!3d16.0697995!4d108.2213273!16s%2Fg%2F1hc22x1r5!19sChIJEfpBJDEYQjERjBNlSpkJj78?authuser=0&hl=vi&rclk=1,Cơm Gà Hồng Ngọc,3.8,885,Món gà,193 Nguyễn Chí Thanh,
https://www.google.com/maps/place/Qu%C3%A1n+%C4%83n+Ng%E1%BB%8Dc+K%C3%BD/data=!4m7!3m6!1s0x314218337a102133:0x7585a62275c48e20!8m2!3d16.0665207!4d108.2207184!16s%2Fg%2F11cjnnqddm!19sChIJMyEQejMYQjERII7EdSKmhXU?authuser=0&hl=vi&rclk=1,Quán ăn Ngọc Ký,4.4,5,Món ăn Việt Nam,160 Nguyễn Chí Thanh,
https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+N%C4%83m+Hi%E1%BB%81n+-+B%C3%A1nh+X%C3%A8o+T%C3%B4m+Nh%E1%BA%A3y/data=!4m7!3m6!1s0x314219b48c51adc5:0x53338f0060c206a0!8m2!3d16.0646855!4d108.2079332!16s%2Fg%2F11bwp1q2r_!19sChIJxa1RjLQZQjERoAbCYACPM1M?authuser=0&hl=vi&rclk=1,Ẩm Thực Năm Hiền - Bánh Xèo Tôm Nhảy,4.0,667,Món ăn Việt Nam,46 Phan Thanh,
https://www.google.com/maps/place/Qu%C3%A1n+B%C3%AA+Thui+C%E1%BA%A7u+M%E1%BB%91ng+-+Ph%C6%B0%C6%A1ng+T%C3%ADn/data=!4m7!3m6!1s0x314219aaaf6d4c05:0xa3718a77c1293016!8m2!3d16.0661808!4d108.1907721!16s%2Fg%2F11c1t53n8c!19sChIJBUxtr6oZQjERFjApwXeKcaM?authuser=0&hl=vi&rclk=1,Quán Bê Thui Cầu Mống - Phương Tín,4.2,42,Quán ăn nhỏ,376 Điện Biên Phủ,
https://www.google.com/maps/place/M%E1%BB%B3+Qu%E1%BA%A3ng+B%C3%A0+Mua/data=!4m7!3m6!1s0x314218349a542d71:0x3be071ae5e59fad5!8m2!3d16.0659789!4d108.2191595!16s%2Fg%2F11h4gwbgy2!19sChIJcS1UmjQYQjER1fpZXq5x4Ds?authuser=0&hl=vi&rclk=1,Mỳ Quảng Bà Mua,3.9,707,Nhà hàng,19-21 Trần Bình Trọng,
https://www.google.com/maps/place/G%E1%BB%8Fi+C%C3%A1+Thanh+H%C6%B0%C6%A1ng+-+Nam+%C3%94/data=!4m7!3m6!1s0x31421f58a9dcaa95:0xa074421fbbaefb83!8m2!3d16.1153686!4d108.1262304!16s%2Fg%2F1tgmsrpb!19sChIJlarcqVgfQjERg_uuux9CdKA?authuser=0&hl=vi&rclk=1,Gỏi Cá Thanh Hương - Nam Ô,4.1,593,Món ăn Việt Nam,1029 Nguyễn Lương Bằng,
https://www.google.com/maps/place/Qu%C3%A1n+M%E1%BA%ADu+b%C3%A1nh+tr%C3%A1ng+th%E1%BB%8Bt+heo/data=!4m7!3m6!1s0x3142198c62eb4391:0x642295b8af7cab9c!8m2!3d16.0257415!4d108.2099886!16s%2Fg%2F1v6wltbb!19sChIJkUPrYowZQjERnKt8r7iVImQ?authuser=0&hl=vi&rclk=1,Quán Mậu bánh tráng thịt heo,4.1,663,Món ăn Việt Nam,35 Đỗ Thúc Tịnh,
https://www.google.com/maps/place/B%C3%BAn+ch%E1%BA%A3+c%C3%A1+%C4%91%C3%A0+n%E1%BA%B5ng/data=!4m7!3m6!1s0x31421901cccf0407:0x9e94c1f9a2b29b70!8m2!3d16.0740802!4d108.2208926!16s%2Fg%2F11ng10d1rc!19sChIJBwTPzAEZQjERcJuyovnBlJ4?authuser=0&hl=vi&rclk=1,Bún chả cá đà nẵng,3.0,2,Món ăn nhanh,113 Nguyễn Chí Thanh,
https://www.google.com/maps/place/B%C3%A1nh+X%C3%A8o+B%C3%A0+D%C6%B0%E1%BB%A1ng/data=!4m7!3m6!1s0x314219ca278828ad:0xe50ace1cbe8f6f9f!8m2!3d16.0588353!4d108.2160495!16s%2Fg%2F11csqxxgqn!19sChIJrSiIJ8oZQjERn2-PvhzOCuU?authuser=0&hl=vi&rclk=1,Bánh Xèo Bà Dưỡng,4.2,4681,Món ăn Việt Nam,23 Hoàng Diệu,
https://www.google.com/maps/place/Cao+L%E1%BA%A7u+Ho%C3%A0i+Ph%E1%BB%91/data=!4m7!3m6!1s0x31421923ccd834fd:0xbeb7bf2f7204e0a8!8m2!3d16.0660133!4d108.2209134!16s%2Fg%2F11f7305gpk!19sChIJ_TTYzCMZQjERqOAEci-_t74?authuser=0&hl=vi&rclk=1,Cao Lầu Hoài Phố,4.1,63,Nhà hàng,255 Nguyễn Chí Thanh,
https://www.google.com/maps/place/%C4%82n+V%E1%BA%B7t+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421778cb3fc5ab:0xf80fcf137e2e352f!8m2!3d16.0553499!4d108.2411442!16s%2Fg%2F11lm6p6vs9!19sChIJq8U_y3gXQjERLzUufhPPD_g?authuser=0&hl=vi&rclk=1,Ăn Vặt Đà Nẵng,5.0,18,Quán ăn nhỏ,364R+4FJ,
https://www.google.com/maps/place/B%C3%A1nh+m%E1%BB%B3+Ba%CC%80+Lan/data=!4m7!3m6!1s0x314219cc392792db:0x345d8778ae248a9d!8m2!3d16.0596327!4d108.2218006!16s%2Fg%2F11cjk3hdgq!19sChIJ25InOcwZQjERnYokrniHXTQ?authuser=0&hl=vi&rclk=1,Bánh mỳ Bà Lan,4.2,587,Bánh mì kẹp,62 Trưng Nữ Vương,
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Jollibee+Th%E1%BB%A9+Hai+T%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142196c8ed1b735:0xb029d2dffe5cd76b!8m2!3d16.0465301!4d108.2212329!16s%2Fg%2F11fd726y2l!19sChIJNbfRjmwZQjERa9dc_t_SKbA?authuser=0&hl=vi&rclk=1,Nhà Hàng Jollibee Thứ Hai Tại Đà Nẵng,3.4,7,Món ăn nhanh,32 Tiểu La,
https://www.google.com/maps/place/B%C3%BAn+B%C3%B2+Hu%E1%BA%BF+Ngon+-+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421914bdec0fa3:0x9f8454a69aa1a74d!8m2!3d16.0571193!4d108.2221006!16s%2Fg%2F11c5sv0tbl!19sChIJow_svRQZQjERTaehmqZUhJ8?authuser=0&hl=vi&rclk=1,Bún Bò Huế Ngon - Đà Nẵng,4.0,67,Nhà hàng,74 Đ. 2 Tháng 9,
https://www.google.com/maps/place/M%C3%AC+Qu%E1%BA%A3ng+B%C3%A0+V%E1%BB%8B/data=!4m7!3m6!1s0x314219cecd0fbb27:0x5482887028d6712d!8m2!3d16.0626357!4d108.2164953!16s%2Fg%2F1vd3s85t!19sChIJJ7sPzc4ZQjERLXHWKHCIglQ?authuser=0&hl=vi&rclk=1,Mì Quảng Bà Vị,3.7,714,Quán mì,166 Đ. Lê Đình Dương,
https://www.google.com/maps/place/C%C6%B0%CC%89a+ha%CC%80ng+%C4%82n+u%C3%B4%CC%81ng+M%C3%A2%CC%A3u+Di%CC%A3ch+1986/data=!4m7!3m6!1s0x314218362018bda7:0x4abc30174b7d0b7!8m2!3d16.0716765!4d108.2138646!16s%2Fg%2F11gc8c9qwb!19sChIJp70YIDYYQjERt9C3dAHDqwQ?authuser=0&hl=vi&rclk=1,Cửa hàng Ăn uống Mậu Dịch 1986,4.4,297,Nhà hàng,149 Hải Phòng,
https://www.google.com/maps/place/B%C3%BAn+B%C3%B2+Hu%E1%BA%BF+B%C3%A0+Th%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x31421832fca39fb5:0xc23c71936418aa7!8m2!3d16.0661111!4d108.2230556!16s%2Fg%2F1pxw9_v4n!19sChIJtZ-j_DIYQjERp4pBNhnHIww?authuser=0&hl=vi&rclk=1,Bún Bò Huế Bà Thương,4.0,251,Quán mì,23 Trần Quốc Toản,
https://www.google.com/maps/place/H%E1%BA%A3i+S%E1%BA%A3n+Cua+Bi%E1%BB%83n+1/data=!4m7!3m6!1s0x3142178d106b9851:0xb6c05bd8d2d6dc3c!8m2!3d16.0785387!4d108.2457365!16s%2Fg%2F11b6plhm72!19sChIJUZhrEI0XQjERPNzW0thbwLY?authuser=0&hl=vi&rclk=1,Hải Sản Cua Biển 1,3.9,779,Đồ hải sản,112 Võ Nguyên Giáp,
https://www.google.com/maps/place/M%C3%ADt+tr%E1%BB%99n+B%C3%A0+Gi%C3%A0/data=!4m7!3m6!1s0x3142184b45bc3d19:0xfcb35d0671366ccc!8m2!3d16.0651226!4d108.2091788!16s%2Fg%2F11g9vwywvg!19sChIJGT28RUsYQjERzGw2cQZds_w?authuser=0&hl=vi&rclk=1,Mít trộn Bà Già,4.3,113,Quán ăn nhỏ,Kiệt 47 Lý Thái Tổ,
