link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+M%C3%A2n+Th%C3%A1i/data=!4m7!3m6!1s0x314217edf81d8baf:0xbd161ee0a355a0f8!8m2!3d16.0890212!4d108.2495942!16s%2Fg%2F11c310l13b!19sChIJr4sd-O0XQjER-KBVo-AeFr0?authuser=0&hl=vi&rclk=1,Bãi tắm Mân Thái,4.3,386,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA/data=!4m7!3m6!1s0x31421782f7fa0ee3:0xeafb8ba272ee55ac!8m2!3d16.0616944!4d108.2469346!16s%2Fg%2F1223wyjj!19sChIJ4w7694IXQjERrFXucqKL--o?authuser=0&hl=vi&rclk=1,Bãi biển Mỹ Khê,4.6,1593,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+V%C3%B5+V%C4%83n+Ki%E1%BB%87t/data=!4m7!3m6!1s0x3142176957650efd:0x4e131cc4e9812705!8m2!3d16.0642652!4d108.2463364!16s%2Fg%2F11j8rddmtq!19sChIJ_Q5lV2kXQjERBSeB6cQcE04?authuser=0&hl=vi&rclk=1,Bãi tắm Võ Văn Kiệt,4.7,18,Điểm thu hút khách du lịch,"367W+PG4, Võ Nguyên Giáp",
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+Nam+%C3%94/data=!4m7!3m6!1s0x314221e2e052169f:0x32cce407b36782e0!8m2!3d16.1190086!4d108.1303959!16s%2Fg%2F11c0qgyfr_!19sChIJnxZS4OIhQjER4IJnswfkzDI?authuser=0&hl=vi&rclk=1,Bãi tắm Nam Ô,4.6,59,Thắng cảnh,449J+J52,
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+Ti%C3%AAn+Sa/data=!4m7!3m6!1s0x314222bb891f6be3:0xca95728275706863!8m2!3d16.1233125!4d108.2191248!16s%2Fg%2F1q5bm0xlj!19sChIJ42sfibsiQjERY2hwdYJylco?authuser=0&hl=vi&rclk=1,Bãi biển Tiên Sa,4.3,70,Bãi biển,,
https://www.google.com/maps/place/Bi%E1%BB%83n+Thanh+B%C3%ACnh/data=!4m7!3m6!1s0x314218510964c553:0xfcc0cfc3510ff1cd!8m2!3d16.0808998!4d108.2069065!16s%2Fg%2F11f3bb5fjs!19sChIJU8VkCVEYQjERzfEPUcPPwPw?authuser=0&hl=vi&rclk=1,Biển Thanh Bình,4.0,29,Bãi biển,Ông Ích Khiêm,
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+Ph%E1%BA%A1m+V%C4%83n+%C4%90%E1%BB%93ng/data=!4m7!3m6!1s0x3142178599738b33:0xf208a358691762b3!8m2!3d16.0732782!4d108.2468342!16s%2Fg%2F1w0qydf7!19sChIJM4tzmYUXQjERs2IXaVijCPI?authuser=0&hl=vi&rclk=1,Bãi tắm Phạm Văn Đồng,4.6,335,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+T%E1%BA%AFm+Non+N%C6%B0%E1%BB%9Bc/data=!4m7!3m6!1s0x314211bbd65e9fbb:0x7a9d4c2c853dee07!8m2!3d16.0028097!4d108.2700072!16s%2Fg%2F11sx6xl8fr!19sChIJu59e1rsRQjERB-49hSxMnXo?authuser=0&hl=vi&rclk=1,Bãi Tắm Non Nước,,0,Điểm thu hút khách du lịch,273C+42,
https://www.google.com/maps/place/B%C3%A3i+%C4%90%C3%A1+%C4%90en/data=!4m7!3m6!1s0x314222d6a895d4bf:0xd04ccb22c9d1f4d5!8m2!3d16.1474562!4d108.2338043!16s%2Fg%2F1ptx910fn!19sChIJv9SVqNYiQjER1fTRySLLTNA?authuser=0&hl=vi&rclk=1,Bãi Đá Đen,4.2,280,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA/data=!4m7!3m6!1s0x3142177a66590321:0xf36c13917474b9d!8m2!3d16.047!4d108.25!16s%2Fg%2F11cjj16wjf!19sChIJIQNZZnoXQjERnUtHFznBNg8?authuser=0&hl=vi&rclk=1,Bãi biển Mỹ Khê,4.5,2326,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+Li%C3%AAn+Chi%E1%BB%83u/data=!4m7!3m6!1s0x314218c89fccd181:0x3c19d491d8564798!8m2!3d16.0887558!4d108.1548412!16s%2Fg%2F11b67r4f0z!19sChIJgdHMn8gYQjERmEdW2JHUGTw?authuser=0&hl=vi&rclk=1,Bãi tắm Liên Chiểu,4.1,228,Bãi biển công cộng,"35Q3+GW4, Nguyễn Tất Thành",
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+Th%E1%BB%8D+Quang/data=!4m7!3m6!1s0x314217896ff195b1:0xdaed244d2aaa6668!8m2!3d16.0991691!4d108.2553955!16s%2Fg%2F11j59r4lvd!19sChIJsZXxb4kXQjERaGaqKk0k7do?authuser=0&hl=vi&rclk=1,Bãi tắm Thọ Quang,5.0,4,Điểm thu hút khách du lịch,"37X4+M56, Hoàng Sa",
