link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/Hair+Of+The+Dog+Bar+Danang/data=!4m7!3m6!1s0x3142195fb3eccc33:0x9702bf134dffe046!8m2!3d16.0662007!4d108.2240467!16s%2Fg%2F11gy9qdrqq!19sChIJM8zss18ZQjERRuD_TRO_Apc?authuser=0&hl=vi&rclk=1,Hair Of The Dog Bar Danang,"4,4",(168),Quán bar,06 Trần Quốc Toản
https://www.google.com/maps/place/Bamboo+2+Bar+Danang/data=!4m7!3m6!1s0x31421832c3d4d05d:0x3a146b4a035c30c4!8m2!3d16.0649822!4d108.2240158!16s%2Fg%2F1wf3624k!19sChIJXdDUwzIYQjERxDBcA0prFDo?authuser=0&hl=vi&rclk=1,Bamboo 2 Bar Danang,"4,1",(1.234),Bar thể thao,216 Bạch Đằng
https://www.google.com/maps/place/Golden+Pine+Pub/data=!4m7!3m6!1s0x3142183036a53179:0x7aa769c276478387!8m2!3d16.0742601!4d108.2290869!16s%2Fg%2F1ptz3rpkc!19sChIJeTGlNjAYQjERh4NHdsJpp3o?authuser=0&hl=vi&rclk=1,Golden Pine Pub,"4,1",(1.331),Quán bar,325 Đ. Trần Hưng Đạo
https://www.google.com/maps/place/Oq+Lounge+Pub/data=!4m7!3m6!1s0x31421946747f0e01:0x391b7d6f4ec32617!8m2!3d16.0794866!4d108.2236767!16s%2Fg%2F11jl2vp0dr!19sChIJAQ5_dEYZQjERFybDTm99Gzk?authuser=0&hl=vi&rclk=1,Oq Lounge Pub,"4,4",(256),Vũ trường,18-20 Bạch Đằng
https://www.google.com/maps/place/Sky+21+Bar/data=!4m7!3m6!1s0x3142178472b892b1:0xb1884292bcf64775!8m2!3d16.0675509!4d108.244712!16s%2Fg%2F11g9w3tgxy!19sChIJsZK4coQXQjERdUf2vJJCiLE?authuser=0&hl=vi&rclk=1,Sky 21 Bar,"4,5",(258),Quán bar,"Belle Maison Parosand Danang, 216 Võ Nguyên Giáp"
https://www.google.com/maps/place/On+The+Radio+Bar/data=!4m7!3m6!1s0x3142184782bb9891:0x6d856ea30d3bdf3d!8m2!3d16.0652451!4d108.2213507!16s%2Fg%2F1hhgq87wx!19sChIJkZi7gkcYQjERPd87DaNuhW0?authuser=0&hl=vi&rclk=1,On The Radio Bar,"4,4",(1.502),Quán bar ca nhạc trực tiếp,76 Thái Phiên
"https://www.google.com/maps/place/Sky36+-+Lounge,+Sky+Bar+%26+Event+Venue/data=!4m7!3m6!1s0x3142183ae54d6015:0xa61168c6e58166a2!8m2!3d16.077401!4d108.2237974!16s%2Fg%2F11gcplt_4x!19sChIJFWBN5ToYQjERomaB5cZoEaY?authuser=0&hl=vi&rclk=1","Sky36 - Lounge, Sky Bar & Event Venue","3,8",(752),Quán bar,36 Bạch Đằng
https://www.google.com/maps/place/212+CLUB+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219cdc04049ff:0x6b304ffdfcd28bbc!8m2!3d16.064325!4d108.2296416!16s%2Fg%2F11fqyk3h2j!19sChIJ_0lAwM0ZQjERvIvS_P1PMGs?authuser=0&hl=vi&rclk=1,212 CLUB Đà Nẵng,"4,4",(66),Quán bar,"DMT MARINA CORP, Đ. Trần Hưng Đạo"
https://www.google.com/maps/place/Horizon+Bar/data=!4m7!3m6!1s0x31421779f0f3d3d3:0x77a0f994319729e9!8m2!3d16.0780317!4d108.2454854!16s%2Fg%2F11flr8h6x2!19sChIJ09Pz8HkXQjER6SmXMZT5oHc?authuser=0&hl=vi&rclk=1,Horizon Bar,"4,4",(34),Quán bar,120 Võ Nguyên Giáp
https://www.google.com/maps/place/BUNNY+Girls+Bar+%26+Lounge+2/data=!4m7!3m6!1s0x31421922d1f7e69b:0x8eeff8bb33cad2e!8m2!3d16.078895!4d108.221682!16s%2Fg%2F11hfpvw9lt!19sChIJm-b30SIZQjERLq08s4v_7gg?authuser=0&hl=vi&rclk=1,BUNNY Girls Bar & Lounge 2,"4,6",(61),Quán bar tiếp viên nữ,12 Nguyễn Du
https://www.google.com/maps/place/The+1920's+Lounge/data=!4m7!3m6!1s0x314218330e7e98a7:0x4a6f6e793a47c04c!8m2!3d16.0661971!4d108.2219325!16s%2Fg%2F11hbkdn8y4!19sChIJp5h-DjMYQjERTMBHOnlub0o?authuser=0&hl=vi&rclk=1,The 1920's Lounge,"4,5",(490),Quán bar ca nhạc trực tiếp,53 Trần Quốc Toản
https://www.google.com/maps/place/New+Ph%C6%B0%C6%A1ng+%C4%90%C3%B4ng/data=!4m7!3m6!1s0x3142183c3d7b9ebb:0x452c789484e558bb!8m2!3d16.0825316!4d108.2209614!16s%2Fg%2F11_dz4nyz!19sChIJu557PTwYQjERu1jlhJR4LEU?authuser=0&hl=vi&rclk=1,New Phương Đông,"4,2",(1.704),Hộp đêm,20 Đống Đa
https://www.google.com/maps/place/Pavo+Bar+Cuisine+%26+Mixology/data=!4m7!3m6!1s0x314219b8ba43655d:0xc894bf79e3f3e608!8m2!3d16.079432!4d108.2232254!16s%2Fg%2F11n91cv_sr!19sChIJXWVDurgZQjERCObz43m_lMg?authuser=0&hl=vi&rclk=1,Pavo Bar Cuisine & Mixology,"5,0",(350),Quán bar,11 Đ. Trần Phú
https://www.google.com/maps/place/The+Long+Bar+at+InterContinental+Danang/data=!4m7!3m6!1s0x31423d95148ac4db:0x3e58815805300206!8m2!3d16.122723!4d108.307169!16s%2Fg%2F11f__7sxms!19sChIJ28SKFJU9QjERBgIwBViBWD4?authuser=0&hl=vi&rclk=1,The Long Bar at InterContinental Danang,"4,7",(52),Quán bar,48F4+3VM
https://www.google.com/maps/place/Kirara+Bar+%26+Lounge+2/data=!4m7!3m6!1s0x3142190bc4554b1d:0x231af15c89726c74!8m2!3d16.0701843!4d108.2343498!16s%2Fg%2F11flzqt85n!19sChIJHUtVxAsZQjERdGxyiVzxGiM?authuser=0&hl=vi&rclk=1,Kirara Bar & Lounge 2,"4,4",(49),Quán bar,317 D. Đình Nghệ
https://www.google.com/maps/place/LIBRE+Bar%F0%9F%8D%B9DaNang/data=!4m7!3m6!1s0x3142183082dac5bd:0x477cb166502e4808!8m2!3d16.0726704!4d108.2210485!16s%2Fg%2F11f2dsmrbv!19sChIJvcXagjAYQjERCEguUGaxfEc?authuser=0&hl=vi&rclk=1,LIBRE Bar🍹DaNang,"4,7",(135),Quán bar,125a Nguyễn Chí Thanh
