link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/Tr%C3%A0+Qu%C3%A1n+G%C3%B3c+Nh%C3%A0+T%E1%BB%A5i+M%C3%ACnh/data=!4m7!3m6!1s0x314218311e0b5cb7:0xe7c8369519580d10!8m2!3d16.0723858!4d108.2218489!16s%2Fg%2F11d_wwzp9m!19sChIJt1wLHjEYQjEREA1YGZU2yOc?authuser=0&hl=vi&rclk=1,Trà Quán Góc Nhà Tụi Mình,4.7,317,Cửa hàng trà truyền thống,36 Đ. Lê Duẩn,
https://www.google.com/maps/place/Cloud+Garden+Coffee/data=!4m7!3m6!1s0x31421788b5ae9f13:0x4258793219812e82!8m2!3d16.0745693!4d108.2434889!16s%2Fg%2F11b6nmv8qt!19sChIJE5-utYgXQjERgi6BGTJ5WEI?authuser=0&hl=vi&rclk=1,Cloud Garden Coffee,4.1,744,Quán cà phê,72 Lê Mạnh Trinh,
https://www.google.com/maps/place/Wonderlust/data=!4m7!3m6!1s0x3142183224111241:0xa99dd0ef2ad89be0!8m2!3d16.06915!4d108.2238598!16s%2Fg%2F11gf5kqnwq!19sChIJQRIRJDIYQjER4JvYKu_Qnak?authuser=0&hl=vi&rclk=1,Wonderlust,4.4,563,Quán cà phê,96 Đ. Trần Phú,
https://www.google.com/maps/place/Cafe+Nia/data=!4m7!3m6!1s0x314219cf43f4d151:0x6f97e2f6f0100ad0!8m2!3d16.0528812!4d108.2214838!16s%2Fg%2F1pzwnl1d9!19sChIJUdH0Q88ZQjER0AoQ8Pbil28?authuser=0&hl=vi&rclk=1,Cafe Nia,4.0,939,Quán cà phê,14 Phan Thành Tài,
https://www.google.com/maps/place/Boulevard+Gelato+%26+Coffee/data=!4m7!3m6!1s0x3142183371e8c0ab:0x239d8448650187ac!8m2!3d16.0662454!4d108.2209321!16s%2Fg%2F11b8tb_l28!19sChIJq8DocTMYQjERrIcBZUiEnSM?authuser=0&hl=vi&rclk=1,Boulevard Gelato & Coffee,4.3,552,Quán cà phê,77 Trần Quốc Toản,
https://www.google.com/maps/place/ADOR/data=!4m7!3m6!1s0x3142195bc13b56c3:0xb364f0418b677ed2!8m2!3d16.0539302!4d108.2210436!16s%2Fg%2F11h4140k_8!19sChIJw1Y7wVsZQjER0n5ni0HwZLM?authuser=0&hl=vi&rclk=1,ADOR,4.5,133,Quán cà phê,17 Phan Thành Tài,
https://www.google.com/maps/place/NAM+house+Cafe/data=!4m7!3m6!1s0x314219ccc550a84d:0x2e1490e9e59ad2ac!8m2!3d16.0632724!4d108.2222423!16s%2Fg%2F11g9q3qyfg!19sChIJTahQxcwZQjERrNKa5emQFC4?authuser=0&hl=vi&rclk=1,NAM house Cafe,4.6,836,Quán cà phê,"khoảng 30 m, 15/1, số 15 Lê Hồng Phong",
https://www.google.com/maps/place/Khu+V%C4%83n+h%C3%B3a+Du+l%E1%BB%8Bch+Kh%C3%B4ng+Gian+X%C6%B0a/data=!4m7!3m6!1s0x314219001064ce23:0x67d2fa43164ccba6!8m2!3d16.0663007!4d108.18943!16s%2Fg%2F1hhngl_mz!19sChIJI85kEAAZQjERpstMFkP60mc?authuser=0&hl=vi&rclk=1,Khu Văn hóa Du lịch Không Gian Xưa,4.2,1765,Nhà hàng,402 Điện Biên Phủ,
https://www.google.com/maps/place/43+Factory+Coffee+Roaster/data=!4m7!3m6!1s0x314217b3ee661bef:0x516cdf137fb627ef!8m2!3d16.0480872!4d108.2460233!16s%2Fg%2F11g10nqwyc!19sChIJ7xtm7rMXQjER7ye2fxPfbFE?authuser=0&hl=vi&rclk=1,43 Factory Coffee Roaster,4.3,1396,Quán cà phê,"Lot 422, Đ. Ng. Thì Sĩ",
https://www.google.com/maps/place/C%E1%BB%99ng+C%C3%A0+Ph%C3%AA/data=!4m7!3m6!1s0x314218321ae9468b:0x7f3c3d5f44588746!8m2!3d16.0690486!4d108.2248767!16s%2Fg%2F11bc6z8n75!19sChIJi0bpGjIYQjERRodYRF89PH8?authuser=0&hl=vi&rclk=1,Cộng Cà Phê,4.1,6407,Quán cà phê,98-96 Bạch Đằng,
https://www.google.com/maps/place/1975+Coffee+Danang/data=!4m7!3m6!1s0x3142183b1b1b716d:0x7bc5c9f0e0101204!8m2!3d16.0784816!4d108.2237464!16s%2Fg%2F11dymvm330!19sChIJbXEbGzsYQjERBBIQ4PDJxXs?authuser=0&hl=vi&rclk=1,1975 Coffee Danang,4.1,356,Quán cà phê,30 Bạch Đằng,
https://www.google.com/maps/place/La%E2%80%99s+Cafe/data=!4m7!3m6!1s0x3142195032d6c221:0x90697642e2c75bd5!8m2!3d16.0198845!4d108.2222776!16s%2Fg%2F11dx94n0rn!19sChIJIcLWMlAZQjER1VvH4kJ2aZA?authuser=0&hl=vi&rclk=1,La’s Cafe,4.6,233,Quán cà phê,36 Đ. Nguyễn Văn Thông,
https://www.google.com/maps/place/GRAND+T+COFFEE/data=!4m7!3m6!1s0x3142190cac9743e1:0x523e0bff5dccf6c8!8m2!3d16.0647108!4d108.220828!16s%2Fg%2F11g4hf5dj3!19sChIJ4UOXrAwZQjERyPbMXf8LPlI?authuser=0&hl=vi&rclk=1,GRAND T COFFEE,4.6,249,Quán cà phê,287 Nguyễn Chí Thanh,
https://www.google.com/maps/place/Ante+Caf%C3%A9/data=!4m7!3m6!1s0x3142194943bab715:0xfe50a8f722bfc108!8m2!3d16.0560872!4d108.2229016!16s%2Fg%2F11mb43y7wf!19sChIJFbe6Q0kZQjERCMG_IveoUP4?authuser=0&hl=vi&rclk=1,Ante Café,4.5,54,Quán cà phê,43 Trần Văn Trứ,
https://www.google.com/maps/place/The+59+cafe/data=!4m7!3m6!1s0x314219bb28181783:0xdc89976718ec6b96!8m2!3d16.0717586!4d108.2175209!16s%2Fg%2F11jdrj84zk!19sChIJgxcYKLsZQjERlmvsGGeXidw?authuser=0&hl=vi&rclk=1,The 59 cafe,4.6,71,Quán cà phê,59 Hải Phòng,
https://www.google.com/maps/place/Fil's+Cafe/data=!4m7!3m6!1s0x314218378c857159:0x7d066fc664d3bbd0!8m2!3d16.0755634!4d108.2155914!16s%2Fg%2F11ggnc450w!19sChIJWXGFjDcYQjER0LvTZMZvBn0?authuser=0&hl=vi&rclk=1,Fil's Cafe,4.5,62,Quán cà phê,225/3 Đống Đa,
https://www.google.com/maps/place/M%E1%BB%98C+MI%C3%8AN+COFFEE+-+X%C6%AF%E1%BB%9ENG+RANG+XAY+C%C3%80+PH%C3%8A/data=!4m7!3m6!1s0x31421b35510fc37d:0xa92161ebccb15473!8m2!3d16.0668587!4d108.2014536!16s%2Fg%2F11ghq5rxhx!19sChIJfcMPUTUbQjERc1SxzOthIak?authuser=0&hl=vi&rclk=1,MỘC MIÊN COFFEE - XƯỞNG RANG XAY CÀ PHÊ,5.0,30,Quán cà phê,142/3 Lê Độ,
https://www.google.com/maps/place/Mintown+Coffee+Roasting/data=!4m7!3m6!1s0x3142196ad3c9ee93:0x4ef8dc4eda3d5e39!8m2!3d15.9774305!4d108.2612568!16s%2Fg%2F11f5v3fxxx!19sChIJk-7J02oZQjEROV492k7c-E4?authuser=0&hl=vi&rclk=1,Mintown Coffee Roasting,4.8,95,Quán cà phê,114 - 116 Đ. 2 Tháng 9,
https://www.google.com/maps/place/Aroi+Dessert+Cafe/data=!4m7!3m6!1s0x314218326e9ad9cb:0x3accaf6e9a9a234f!8m2!3d16.0677479!4d108.2247924!16s%2Fg%2F11bw5zph6m!19sChIJy9mabjIYQjERTyOamm6vzDo?authuser=0&hl=vi&rclk=1,Aroi Dessert Cafe,4.3,856,Quán cà phê,124 Bạch Đằng,
https://www.google.com/maps/place/Mitsumura/data=!4m7!3m6!1s0x314219ec9b4e32a7:0xbe385751619a4ec!8m2!3d16.0652248!4d108.1549524!16s%2Fg%2F11qp12g8fc!19sChIJpzJOm-wZQjER7KQZFnWF4ws?authuser=0&hl=vi&rclk=1,Mitsumura,4.6,28,Quán cà phê,553 Tôn Đức Thắng,
https://www.google.com/maps/place/The+Cups+Coffee/data=!4m7!3m6!1s0x314217dec9f11185:0xdca9de0f2bf6523d!8m2!3d16.0560954!4d108.2456779!16s%2Fg%2F11g07yw4fm!19sChIJhRHxyd4XQjERPVL2Kw_eqdw?authuser=0&hl=vi&rclk=1,The Cups Coffee,4.2,625,Quán cà phê,233 Nguyễn Văn Thoại,
https://www.google.com/maps/place/C%C3%A0+ph%C3%AA+CAV/data=!4m7!3m6!1s0x31421768596807f1:0x97cb5ea3b26ab3ce!8m2!3d16.0964317!4d108.2253952!16s%2Fg%2F11j2zdv8jn!19sChIJ8QdoWWgXQjERzrNqsqNey5c?authuser=0&hl=vi&rclk=1,Cà phê CAV,4.4,138,Quán cà phê,Nguyễn Đình Hoàn,
https://www.google.com/maps/place/Boong+Coffee/data=!4m7!3m6!1s0x31421a31e654c7e7:0x630a3d83d69f5094!8m2!3d16.0088562!4d108.19764!16s%2Fg%2F11hbgqkpv0!19sChIJ58dU5jEaQjERlFCf1oM9CmM?authuser=0&hl=vi&rclk=1,Boong Coffee,4.2,27,Quán cà phê,70 Đinh Châu,
https://www.google.com/maps/place/Qu%C3%A1n+c%C3%A0+ph%C3%AA+S%C3%A1u+Tr%C3%AAn+S%C3%A1u/data=!4m7!3m6!1s0x31421766e7e7a589:0xd9a579d9ca3dd6d!8m2!3d16.0432336!4d108.2442276!16s%2Fg%2F11dy_jx_2d!19sChIJiaXn52YXQjERbd2jnJ1Xmg0?authuser=0&hl=vi&rclk=1,Quán cà phê Sáu Trên Sáu,4.6,412,Quán cà phê,64 Bà Huyện Thanh Quan,
https://www.google.com/maps/place/Ti%E1%BB%87m+n%C6%B0%E1%BB%9Bc+bao+c%E1%BA%A5p/data=!4m7!3m6!1s0x3142183b0d4754a9:0x1b5a79b598f124f2!8m2!3d16.071885!4d108.2138364!16s%2Fg%2F11f__rrm_h!19sChIJqVRHDTsYQjER8iTxmLV5Whs?authuser=0&hl=vi&rclk=1,Tiệm nước bao cấp,4.5,29,Quán cà phê,176 Hải Phòng,
https://www.google.com/maps/place/Cafe+Trung+Nguy%C3%AAn+Legend/data=!4m7!3m6!1s0x314219ffc3942c1f:0x562c72a838ab6f6e!8m2!3d16.0809833!4d108.218669!16s%2Fg%2F11fr75z5q5!19sChIJHyyUw_8ZQjERbm-rOKhyLFY?authuser=0&hl=vi&rclk=1,Cafe Trung Nguyên Legend,4.7,135,Quán cà phê,104 Đống Đa,
https://www.google.com/maps/place/Ti%E1%BB%87m+C%C3%A0+Ph%C3%AA+Ng%C6%B0%E1%BB%9Di+Th%C6%B0%C6%A1ng+%C6%A0i/data=!4m7!3m6!1s0x314219b53bb2886d:0x511ae98e3cafaa92!8m2!3d16.0802856!4d108.2121466!16s%2Fg%2F11mvp34b50!19sChIJbYiyO7UZQjERkqqvPI7pGlE?authuser=0&hl=vi&rclk=1,Tiệm Cà Phê Người Thương Ơi,4.6,14,Quán cà phê,08 Thanh Hải,
https://www.google.com/maps/place/SaiGon+Brown+Coffee/data=!4m7!3m6!1s0x314219252364b16b:0x8db861d1104b5ced!8m2!3d16.0602556!4d108.174409!16s%2Fg%2F11fj33_yf0!19sChIJa7FkIyUZQjER7VxLENFhuI0?authuser=0&hl=vi&rclk=1,SaiGon Brown Coffee,4.4,376,Quán cà phê,1 Tân Trào,
https://www.google.com/maps/place/Tr%C3%A0+Th%E1%BA%A3o+M%E1%BB%99c+%C4%90%C3%A0+N%E1%BA%B5ng+-+OM+Tea+%26+Coffee/data=!4m7!3m6!1s0x31423d411a0a0d99:0x30e1f40f0d903ce1!8m2!3d16.1075549!4d108.2570841!16s%2Fg%2F11k1kjr2bk!19sChIJmQ0KGkE9QjER4TyQDQ_04TA?authuser=0&hl=vi&rclk=1,Trà Thảo Mộc Đà Nẵng - OM Tea & Coffee,4.7,29,Quán cà phê,116 Thích Thiện Chiếu,
https://www.google.com/maps/place/96+Coffee+%26+Apartment/data=!4m7!3m6!1s0x314219f4d1d2ff33:0x894852e1e4a27ecc!8m2!3d16.0786949!4d108.2237004!16s%2Fg%2F11jn0thprb!19sChIJM__S0fQZQjERzH6i5OFSSIk?authuser=0&hl=vi&rclk=1,96 Coffee & Apartment,4.2,12,Quán cà phê,28 Bạch Đằng,
https://www.google.com/maps/place/Hong+Duong+Furniture+%26+Coffee/data=!4m7!3m6!1s0x31421975d7afca89:0x2f732b18e77d4f05!8m2!3d16.0789696!4d108.1703428!16s%2Fg%2F11n0_s8gdl!19sChIJicqv13UZQjERBU995xgrcy8?authuser=0&hl=vi&rclk=1,Hong Duong Furniture & Coffee,4.3,66,Quán cà phê,2 Phùng Hưng,
https://www.google.com/maps/place/KIM+Cafe+%26+Office/data=!4m7!3m6!1s0x3142199380c9ea1f:0x69a14a3e5cf34ea1!8m2!3d16.0366504!4d108.2103808!16s%2Fg%2F11hbbs61mf!19sChIJH-rJgJMZQjERoU7zXD5KoWk?authuser=0&hl=vi&rclk=1,KIM Cafe & Office,4.4,59,Quán cà phê,235 Phan Đăng Lưu,
https://www.google.com/maps/place/Shin'sGarden+Coffee/data=!4m7!3m6!1s0x31421767cea5fc6b:0xc42e3e7d3b289fba!8m2!3d16.0411793!4d108.2485598!16s%2Fg%2F11bx8rxxq9!19sChIJa_ylzmcXQjERup8oO30-LsQ?authuser=0&hl=vi&rclk=1,Shin'sGarden Coffee,3.7,141,Quán cà phê,121 Hồ Xuân Hương,
"https://www.google.com/maps/place/The+Cups+Coffee+Roastery+-+H%E1%BA%A3i+Ch%C3%A2u,+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219fe23df20af:0x49571b88034849f!8m2!3d16.0553553!4d108.2224418!16s%2Fg%2F11h4y2fk9q!19sChIJryDfI_4ZQjERn4Q0gLhxlQQ?authuser=0&hl=vi&rclk=1","The Cups Coffee Roastery - Hải Châu, Đà Nẵng",4.2,231,Quán cà phê,"Lô B20, 22 Đ. 2 Tháng 9",
https://www.google.com/maps/place/Green+%26+Brown+Coffee/data=!4m7!3m6!1s0x314218fd8d5f2767:0x65293dfc4f01af18!8m2!3d16.0680757!4d108.182767!16s%2Fg%2F11g02b28k4!19sChIJZydfjf0YQjERGK8BT_w9KWU?authuser=0&hl=vi&rclk=1,Green & Brown Coffee,4.1,170,Quán cà phê,872 Trần Cao Vân,
https://www.google.com/maps/place/%C3%80la+Cafe/data=!4m7!3m6!1s0x314219f116c68ce9:0x648fcfcd1a4c3eb6!8m2!3d16.0736525!4d108.2216632!16s%2Fg%2F11jlmml20j!19sChIJ6YzGFvEZQjERtj5MGs3Pj2Q?authuser=0&hl=vi&rclk=1,Àla Cafe,4.8,71,Quán cà phê,K113 Nguyễn Chí Thanh,
https://www.google.com/maps/place/C%C3%A0+ph%C3%AA+rang+xay+%C4%90%C3%A0+N%E1%BA%B5ng+-+Yahaa+s%E1%BA%A3n+xu%E1%BA%A5t+c%C3%A0+ph%C3%AA+h%E1%BA%A1t+%26+b%E1%BB%99t/data=!4m7!3m6!1s0x314219c1a5c58f39:0xc6278077c931a6ba!8m2!3d16.0440853!4d108.2176393!16s%2Fg%2F1jkw7y02q!19sChIJOY_FpcEZQjERuqYxyXeAJ8Y?authuser=0&hl=vi&rclk=1,Cà phê rang xay Đà Nẵng - Yahaa sản xuất cà phê hạt & bột,4.9,114,Cơ sở rang cà phê,02 Đốc Ngữ,
https://www.google.com/maps/place/UnderT+Coffee/data=!4m7!3m6!1s0x314219535edbe305:0x91507fb8fca52665!8m2!3d16.081262!4d108.2216153!16s%2Fg%2F11q_l134ty!19sChIJBePbXlMZQjERZSal_Lh_UJE?authuser=0&hl=vi&rclk=1,UnderT Coffee,4.6,24,Quán cà phê,15 Trần Quý Cáp,
https://www.google.com/maps/place/N%E1%BB%91i+Caf%C3%A9/data=!4m7!3m6!1s0x31421830b8f7ac35:0xb33f644c4ec6cbe4!8m2!3d16.0737166!4d108.2215743!16s%2Fg%2F11dxkxf4s7!19sChIJNaz3uDAYQjER5MvGTkxkP7M?authuser=0&hl=vi&rclk=1,Nối Café,4.4,363,Quán cà phê,113/18 Nguyễn Chí Thanh,
