link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/Ng%C5%A9+H%C3%A0nh+S%C6%A1n/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0034756!4d108.2645803!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=vi&rclk=1,Ngũ Hành Sơn,4.3,17763,Điểm thu hút khách du lịch,81 Huyền Trân Công Chúa,
https://www.google.com/maps/place/Gh%E1%BB%81nh+B%C3%A0ng/data=!4m7!3m6!1s0x31423df2819c425b:0xfac92c3b7e0f9926!8m2!3d16.1124336!4d108.3116322!16s%2Fg%2F1ptxkl4kn!19sChIJW0KcgfI9QjERJpkPfjssyfo?authuser=0&hl=vi&rclk=1,Ghềnh Bàng,4.4,406,Điểm thu hút khách du lịch,"Hoàng Sa, Thọ Quang, Sơn Trà",
https://www.google.com/maps/place/Asia+Park+-+C%C3%B4ng+vi%C3%AAn+Ch%C3%A2u+%C3%81/data=!4m7!3m6!1s0x314219e7a191cc17:0xe60f91d4055e3074!8m2!3d16.0383924!4d108.2266751!16s%2Fg%2F11c1s0n2xz!19sChIJF8yRoecZQjERdDBeBdSRD-Y?authuser=0&hl=vi&rclk=1,Asia Park - Công viên Châu Á,4.4,7817,Điểm thu hút khách du lịch,1 Phan Đăng Lưu,
https://www.google.com/maps/place/M%C5%A9i+Ngh%C3%AA/data=!4m7!3m6!1s0x31423e0ba11a79fd:0x8f8037a21e1385fc!8m2!3d16.1179892!4d108.3383401!16s%2Fg%2F1tdx65py!19sChIJ_XkaoQs-QjER_IUTHqI3gI8?authuser=0&hl=vi&rclk=1,Mũi Nghê,4.6,199,Điểm thu hút khách du lịch,,
https://www.google.com/maps/place/C%C3%A2y+%C4%90a+Ng%C3%A0n+N%C4%83m/data=!4m7!3m6!1s0x31423de2829a7adb:0x7b42afa6407a77f7!8m2!3d16.12255!4d108.3317036!16s%2Fg%2F11hz5xn3hd!19sChIJ23qaguI9QjER93d6QKavQns?authuser=0&hl=vi&rclk=1,Cây Đa Ngàn Năm,4.7,201,Điểm thu hút khách du lịch,Bán đảo,
https://www.google.com/maps/place/Gi%E1%BA%BFng+Tr%E1%BB%9Di/data=!4m7!3m6!1s0x3141f6831262b307:0xa64c6ed6f98b579b!8m2!3d16.0347599!4d107.9909156!16s%2Fg%2F11b7csmqgr!19sChIJB7NiEoP2QTERm1eL-dZuTKY?authuser=0&hl=vi&rclk=1,Giếng Trời,4.1,63,Điểm thu hút khách du lịch,,
https://www.google.com/maps/place/T%C6%B0%E1%BB%A3ng+C%C3%A1+Ch%C3%A9p+H%C3%B3a+R%E1%BB%93ng/data=!4m7!3m6!1s0x3142198c825000e1:0x9b011fe03c346db3!8m2!3d16.06291!4d108.229815!16s%2Fg%2F11jm2ctf_c!19sChIJ4QBQgowZQjERs200POAfAZs?authuser=0&hl=vi&rclk=1,Tượng Cá Chép Hóa Rồng,4.5,61,Điểm thu hút khách du lịch,"367H+5W8, Đường Trần Hưng Đạo",
https://www.google.com/maps/place/La%CC%80ng+Bi%CC%81ch+ho%CC%A3a+%C4%90a%CC%80+N%C4%83%CC%83ng/data=!4m7!3m6!1s0x314219cc7844ab91:0x436db6a820a059c!8m2!3d16.0607217!4d108.2200138!16s%2Fg%2F11hbq9ysf8!19sChIJkatEeMwZQjERnAUKgmrbNgQ?authuser=0&hl=vi&rclk=1,Làng Bích họa Đà Nẵng,4.2,533,Điểm thu hút khách du lịch,Kiệt 75 Nguyễn Văn Linh,
https://www.google.com/maps/place/C%E1%BA%A7u+T%C3%ACnh+Y%C3%AAu+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219619542c5dd:0x7d43b6210f4a07fe!8m2!3d16.0632799!4d108.2296041!16s%2Fg%2F11ngt1t9kd!19sChIJ3cVClWEZQjER_gdKDyG2Q30?authuser=0&hl=vi&rclk=1,Cầu Tình Yêu Đà Nẵng,4.5,632,Điểm thu hút khách du lịch,"367H+8R9, Đường Trần Hưng Đạo",
https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+%C4%90i%C3%AAu+kh%E1%BA%AFc+Ch%C4%83m+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219cdb3006a2d:0x62ca993f60c3a12c!8m2!3d16.0607079!4d108.2235466!16s%2Fm%2F02pvbjt!19sChIJLWoAs80ZQjERLKHDYD-ZymI?authuser=0&hl=vi&rclk=1,Bảo tàng Điêu khắc Chăm Đà Nẵng,4.1,4792,Điểm thu hút khách du lịch,Số 02 Đ. 2 Tháng 9,
https://www.google.com/maps/place/C%E1%BA%A7u+V%C3%A0ng+-+B%C3%A0+N%C3%A0+Hills/data=!4m7!3m6!1s0x3141f7f503abc03b:0x9d023df40751a196!8m2!3d15.9950734!4d107.9963662!16s%2Fg%2F11mxzgqplz!19sChIJO8CrA_X3QTERlqFRB_Q9Ap0?authuser=0&hl=vi&rclk=1,Cầu Vàng - Bà Nà Hills,4.6,1932,Điểm thu hút khách du lịch,XXWW+2GH,
https://www.google.com/maps/place/V%C3%B2ng+quay+M%E1%BA%B7t+Tr%E1%BB%9Di+(Sun+Wheel)/data=!4m7!3m6!1s0x314219e774acfaf5:0xd61e377c100cc265!8m2!3d16.0404534!4d108.2283843!16s%2Fg%2F11bbwn9bzd!19sChIJ9fqsdOcZQjERZcIMEHw3HtY?authuser=0&hl=vi&rclk=1,Vòng quay Mặt Trời (Sun Wheel),4.5,3678,Điểm thu hút khách du lịch,1 Phan Đăng Lưu,
https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+3D+Art+In+Paradise+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314217f750645271:0x91c392fc753f0fb0!8m2!3d16.0956067!4d108.2428156!16s%2Fg%2F11d_d3m0pj!19sChIJcVJkUPcXQjERsA8_dfySw5E?authuser=0&hl=vi&rclk=1,Bảo tàng 3D Art In Paradise Đà Nẵng,4.4,1750,Điểm thu hút khách du lịch,"Lô 10, Trần Nhân Tông",
https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+Su%E1%BB%91i+L%C6%B0%C6%A1ng+-+Hai+Van+Park/data=!4m7!3m6!1s0x314221a5b1f3a2f3:0x26049ed08a3a111b!8m2!3d16.1566197!4d108.1093217!16s%2Fg%2F1thktrhs!19sChIJ86LzsaUhQjERGxE6itCeBCY?authuser=0&hl=vi&rclk=1,Khu Du Lịch Sinh Thái Suối Lương - Hai Van Park,4.0,1121,Điểm thu hút khách du lịch,Suối Lương,
https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+%C4%90%E1%BB%93ng+%C4%90%C3%ACnh/data=!4m7!3m6!1s0x314217d700e5ae69:0xe0ee545e81e43d99!8m2!3d16.1014105!4d108.2760874!16s%2Fg%2F11cjznqrp6!19sChIJaa7lANcXQjERmT3kgV5U7uA?authuser=0&hl=vi&rclk=1,Bảo tàng Đồng Đình,4.1,297,Điểm thu hút khách du lịch,"472G+HC8, Hoàng Sa",
https://www.google.com/maps/place/H%C3%B2a+Ph%C3%BA+Th%C3%A0nh+Tourist+-+Tr%C6%B0%E1%BB%A3t+th%C3%A1c+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3141f77af7e9b92b:0xfaf4e097094874f3!8m2!3d15.9577622!4d107.9916977!16s%2Fg%2F11b6j87gg9!19sChIJK7np93r3QTER83RICZfg9Po?authuser=0&hl=vi&rclk=1,Hòa Phú Thành Tourist - Trượt thác Đà Nẵng,4.4,736,Điểm thu hút khách du lịch,,
https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142183691882913:0xc9180a3982a9ef58!8m2!3d16.0772505!4d108.2226732!16s%2Fg%2F1tlwc3mc!19sChIJEymIkTYYQjERWO-pgjkKGMk?authuser=0&hl=vi&rclk=1,Bảo tàng Đà Nẵng,4.0,1233,Điểm thu hút khách du lịch,24 Đ. Trần Phú,
https://www.google.com/maps/place/H%E1%BA%A3i+%C4%91%C4%83ng+S%C6%A1n+Tr%C3%A0/data=!4m7!3m6!1s0x31423dd18d128a23:0xab60f4ad03227395!8m2!3d16.1396875!4d108.3220625!16s%2Fg%2F11gfxjjl0q!19sChIJI4oSjdE9QjERlXMiA630YKs?authuser=0&hl=vi&rclk=1,Hải đăng Sơn Trà,4.5,259,Điểm thu hút khách du lịch,,
https://www.google.com/maps/place/%C4%90%E1%BB%89nh+B%C3%A0n+C%E1%BB%9D/data=!4m7!3m6!1s0x31423d6e34ee0105:0x69e23a6263ffc6ec!8m2!3d16.1189365!4d108.2719826!16s%2Fg%2F11bbwpgtdk!19sChIJBQHuNG49QjER7Mb_Y2I64mk?authuser=0&hl=vi&rclk=1,Đỉnh Bàn Cờ,4.6,2725,Điểm thu hút khách du lịch,Bàn cờ,
https://www.google.com/maps/place/Fantasy+Park/data=!4m7!3m6!1s0x3141f6fcd2ca1de9:0x8ab7af426e736a44!8m2!3d15.9972041!4d107.988763!16s%2Fg%2F11f3qs35jx!19sChIJ6R3K0vz2QTERRGpzbkKvt4o?authuser=0&hl=vi&rclk=1,Fantasy Park,4.3,324,Điểm thu hút khách du lịch,XXWQ+VGJ,
https://www.google.com/maps/place/Nh%C3%A0+Th%C6%A1%CC%80+Con+G%C3%A0/data=!4m7!3m6!1s0x3142198f38589aef:0x9409e1a4c30cbf79!8m2!3d16.0666864!4d108.2232191!16s%2Fg%2F11h4h33wsd!19sChIJ75pYOI8ZQjEReb8Mw6ThCZQ?authuser=0&hl=vi&rclk=1,Nhà Thờ Con Gà,4.8,200,Điểm thu hút khách du lịch,156 Đ. Trần Phú,
https://www.google.com/maps/place/Cung+Thi%E1%BA%BFu+Nhi+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219e86774bd2f:0x57338b4658ba024f!8m2!3d16.0387805!4d108.2254072!16s%2Fg%2F11c1b36mst!19sChIJL710Z-gZQjERTwK6WEaLM1c?authuser=0&hl=vi&rclk=1,Cung Thiếu Nhi Đà Nẵng,4.4,1250,Điểm thu hút khách du lịch,2a Phan Đăng Lưu,
https://www.google.com/maps/place/Hot+Springs+Park+-+C%C3%B4ng+vi%C3%AAn+Su%E1%BB%91i+kho%C3%A1ng+n%C3%B3ng+N%C3%BAi+Th%E1%BA%A7n+T%C3%A0i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3141f79575cfb7c1:0xf0646efeed30cb8f!8m2!3d15.9678512!4d108.0198053!16s%2Fg%2F11g8_16v6_!19sChIJwbfPdZX3QTERj8sw7f5uZPA?authuser=0&hl=vi&rclk=1,Hot Springs Park - Công viên Suối khoáng nóng Núi Thần Tài Đà Nẵng,4.3,3145,Điểm thu hút khách du lịch,QL14G,
