link,name,avgRating,numOfRating,category,price,plusCode
https://www.google.com/maps/place/Ph%C3%BAc+Thanh+Hotel/data=!4m10!3m9!1s0x3142177b8ff7cf3d:0x7beeed4dbcdf6786!5m2!4m1!1i2!8m2!3d16.05425!4d108.244369!16s%2Fg%2F11hd4zhn2f!19sChIJPc_3j3sXQjERhmffvE3t7ns?authuser=0&hl=vi&rclk=1,Phúc Thanh Hotel,4.1,57,Khách sạn 3 sao,267 N,
https://www.google.com/maps/place/Light+House+Hostel+Da+Nang/data=!4m10!3m9!1s0x314217651a7eecb7:0x54e88d5fbb7d2a3a!5m2!4m1!1i2!8m2!3d16.048524!4d108.247373!16s%2Fg%2F11fflzg498!19sChIJt-x-GmUXQjEROip9u1-N6FQ?authuser=0&hl=vi&rclk=1,Light House Hostel Da Nang,4.4,64,Khách sạn 1 sao,360 N,
https://www.google.com/maps/place/Hanami+Hotel+Danang/data=!4m10!3m9!1s0x3142176372388b9f:0x8b97363057db4165!5m2!4m1!1i2!8m2!3d16.0487914!4d108.2430218!16s%2Fg%2F11gfhdk5qk!19sChIJn4s4cmMXQjERZUHbVzA2l4s?authuser=0&hl=vi&rclk=1,Hanami Hotel Danang,4.7,710,Khách sạn 3 sao,346 N,
https://www.google.com/maps/place/M%C6%B0%E1%BB%9Dng+Thanh+Luxury+%C4%90%C3%A0+N%E1%BA%B5ng+Hotel/data=!4m10!3m9!1s0x3142177a5081b45b:0x1dba027958889476!5m2!4m1!1i2!8m2!3d16.0537175!4d108.2473636!16s%2Fg%2F11g7316zh1!19sChIJW7SBUHoXQjERdpSIWHkCuh0?authuser=0&hl=vi&rclk=1,Mường Thanh Luxury Đà Nẵng Hotel,4.3,3385,Khách sạn 5 sao,"1,19 Tr",
https://www.google.com/maps/place/Santori+Hotel+%26+Spa/data=!4m10!3m9!1s0x3142193145244fef:0x923372f27292c5b!5m2!4m1!1i2!8m2!3d16.0541785!4d108.2325915!16s%2Fg%2F11j96t506g!19sChIJ708kRTEZQjERWywpJy83Iwk?authuser=0&hl=vi&rclk=1,Santori Hotel & Spa,4.7,33,Khách sạn,600 N,
https://www.google.com/maps/place/Dana+Marina+Hotel/data=!4m10!3m9!1s0x314217821e167501:0x8f88c07f116faa34!5m2!4m1!1i2!8m2!3d16.063175!4d108.2436467!16s%2Fg%2F11dd_r_sjv!19sChIJAXUWHoIXQjERNKpvEX_AiI8?authuser=0&hl=vi&rclk=1,Dana Marina Hotel,4.1,367,Khách sạn 3 sao,565 N,
https://www.google.com/maps/place/M%C6%B0%E1%BB%9Dng+Thanh+Grand+%C4%90%C3%A0+N%E1%BA%B5ng+Hotel/data=!4m10!3m9!1s0x314219f5540b195d:0x4476dc3ffe0f3386!5m2!4m1!1i2!8m2!3d16.0648162!4d108.2330777!16s%2Fg%2F11jff73my_!19sChIJXRkLVPUZQjERhjMP_j_cdkQ?authuser=0&hl=vi&rclk=1,Mường Thanh Grand Đà Nẵng Hotel,4.3,224,Khách sạn 4 sao,782 N,
https://www.google.com/maps/place/May+Beach+%C4%90%C3%A0+N%E1%BA%B5ng+Hotel/data=!4m10!3m9!1s0x314217d3158a4ea7:0xc1d0efa99527d265!5m2!4m1!1i2!8m2!3d16.0519118!4d108.2462633!16s%2Fg%2F11q41r_gd7!19sChIJp06KFdMXQjERZdInlanv0ME?authuser=0&hl=vi&rclk=1,May Beach Đà Nẵng Hotel,4.8,26,Khách sạn,425 N,
https://www.google.com/maps/place/Sala+Danang+Beach+Hotel/data=!4m10!3m9!1s0x31421778a1a1ec31:0x22e751e30a3a2ba8!5m2!4m1!1i2!8m2!3d16.0622492!4d108.2452392!16s%2Fg%2F11h8d6kpqf!19sChIJMeyhoXgXQjERqCs6CuNR5yI?authuser=0&hl=vi&rclk=1,Sala Danang Beach Hotel,4.6,906,Khách sạn 4 sao,"1,27 Tr",
https://www.google.com/maps/place/Raon+Apartment+%26+Hotel/data=!4m10!3m9!1s0x31421786320ca18d:0xf6dcd6db9383330b!5m2!4m1!1i2!8m2!3d16.0728766!4d108.2410743!16s%2Fg%2F11f55n0fcs!19sChIJjaEMMoYXQjERCzODk9vW3PY?authuser=0&hl=vi&rclk=1,Raon Apartment & Hotel,4.6,205,Khách sạn 3 sao,301 N,
https://www.google.com/maps/place/Gold+Hotel/data=!4m10!3m9!1s0x314219cf4b187463:0xb8f80f2c6f2113cb!5m2!4m1!1i2!8m2!3d16.0539436!4d108.2201004!16s%2Fg%2F119wyv3s2!19sChIJY3QYS88ZQjERyxMhbywP-Lg?authuser=0&hl=vi&rclk=1,Gold Hotel,3.8,282,Khách sạn 3 sao,375 N,
https://www.google.com/maps/place/King+House+Villa+Hotel/data=!4m10!3m9!1s0x314219d4960a9827:0x6189df3be311e38!5m2!4m1!1i2!8m2!3d16.0636803!4d108.2398992!16s%2Fg%2F11fjs79q_9!19sChIJJ5gKltQZQjEROB4xvvOdGAY?authuser=0&hl=vi&rclk=1,King House Villa Hotel,4.2,164,Khách sạn 3 sao,377 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Elly's+Home+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x3142178160ee5555:0x8f475d2a562017aa!5m2!4m1!1i2!8m2!3d16.0662141!4d108.2434399!16s%2Fg%2F11spxcvg20!19sChIJVVXuYIEXQjERqhcgVipdR48?authuser=0&hl=vi&rclk=1,Khách sạn Elly's Home Đà Nẵng,4.9,168,Khách sạn,240 N,
https://www.google.com/maps/place/Diamond+Sea+Hotel/data=!4m10!3m9!1s0x31421783ecacb2cd:0x1b3ab65dcfd4ff59!5m2!4m1!1i2!8m2!3d16.0665018!4d108.2450398!16s%2Fg%2F1pp2vgq8x!19sChIJzbKs7IMXQjERWf_Uz122Ohs?authuser=0&hl=vi&rclk=1,Diamond Sea Hotel,4.2,1074,Khách sạn 4 sao,796 N,
https://www.google.com/maps/place/Century+hotel+Da+Nang/data=!4m10!3m9!1s0x31421781dbf1e2e5:0xacc6709cfb9e315a!5m2!4m1!1i2!8m2!3d16.0626923!4d108.2417338!16s%2Fg%2F11nnggkxzv!19sChIJ5eLx24EXQjERWjGe-5xwxqw?authuser=0&hl=vi&rclk=1,Century hotel Da Nang,4.8,19,Khách sạn,549 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+M%C6%B0%E1%BB%9Dng+Thanh+Luxury+S%C3%B4ng+H%C3%A0n/data=!4m10!3m9!1s0x314219c48567b049:0xeb2bbf7249e27f21!5m2!4m1!1i2!8m2!3d16.0602525!4d108.2168229!16s%2Fg%2F11fkq089rk!19sChIJSbBnhcQZQjERIX_iSXK_K-s?authuser=0&hl=vi&rclk=1,Khách sạn Mường Thanh Luxury Sông Hàn,4.2,470,Khách sạn 5 sao,871 N,
https://www.google.com/maps/place/Haian+Riverfront+Da+Nang+Hotel/data=!4m10!3m9!1s0x314218328cba5f7b:0x2aff1fe3766a6839!5m2!4m1!1i2!8m2!3d16.0661896!4d108.2244309!16s%2Fg%2F11j99sqt9n!19sChIJe1-6jDIYQjEROWhqduMf_yo?authuser=0&hl=vi&rclk=1,Haian Riverfront Da Nang Hotel,4.4,112,Khách sạn 4 sao,844 N,
https://www.google.com/maps/place/Danang+Golden+Bay+Hotel/data=!4m10!3m9!1s0x3142180fe0af6541:0x7286a33cefda8ba!5m2!4m1!1i2!8m2!3d16.0977009!4d108.2246456!16s%2Fg%2F11f15k0jvs!19sChIJQWWv4A8YQjERuqj9zjNqKAc?authuser=0&hl=vi&rclk=1,Danang Golden Bay Hotel,4.4,3038,Khách sạn 5 sao,"1,55 Tr",
https://www.google.com/maps/place/AOA+Da+Nang+Hotel/data=!4m10!3m9!1s0x314217a6a7569871:0x4dab9b506594c9a0!5m2!4m1!1i2!8m2!3d16.0493217!4d108.2479231!16s%2Fg%2F11rfb36_wg!19sChIJcZhWp6YXQjERoMmUZVCbq00?authuser=0&hl=vi&rclk=1,AOA Da Nang Hotel,4.2,21,Khách sạn,255 N,
https://www.google.com/maps/place/Avora+Hotel+Danang/data=!4m10!3m9!1s0x314218328a239181:0x1aec05ff9c39618a!5m2!4m1!1i2!8m2!3d16.0665722!4d108.224617!16s%2Fg%2F11dx8m5ysm!19sChIJgZEjijIYQjERimE5nP8F7Bo?authuser=0&hl=vi&rclk=1,Avora Hotel Danang,4.1,463,Khách sạn 3 sao,620 N,
https://www.google.com/maps/place/Raon+Danang+Beach+Hotel/data=!4m10!3m9!1s0x3142177b2f4e7db5:0xd84f20670f9a5cda!5m2!4m1!1i2!8m2!3d16.0510673!4d108.2462692!16s%2Fg%2F11fx7tzn2_!19sChIJtX1OL3sXQjER2lyaD2cgT9g?authuser=0&hl=vi&rclk=1,Raon Danang Beach Hotel,4.4,336,Khách sạn 3 sao,634 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Lavencos+bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314217ba7a0a7997:0x205a72d70ea08eb5!5m2!4m1!1i2!8m2!3d16.0436211!4d108.247605!16s%2Fg%2F11q41kmdh4!19sChIJl3kKeroXQjERtY6gDtdyWiA?authuser=0&hl=vi&rclk=1,Khách sạn Lavencos biển Mỹ Khê Đà Nẵng,4.8,72,Khách sạn,598 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Novotel+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x3142183afab4a42d:0xd52dbe9e28e83835!5m2!4m1!1i2!8m2!3d16.077357!4d108.2236583!16s%2Fg%2F11xcxx_4h!19sChIJLaS0-joYQjERNTjoKJ6-LdU?authuser=0&hl=vi&rclk=1,Khách sạn Novotel Đà Nẵng,4.5,4305,Khách sạn 5 sao,"2,27 Tr",
https://www.google.com/maps/place/Le+House+Boutique+Hotel/data=!4m10!3m9!1s0x31421783dcc4ef4f:0xf3548bc750259500!5m2!4m1!1i2!8m2!3d16.0668365!4d108.244431!16s%2Fg%2F11bxdtg5cp!19sChIJT-_E3IMXQjERAJUlUMeLVPM?authuser=0&hl=vi&rclk=1,Le House Boutique Hotel,4.0,254,Khách sạn 3 sao,438 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Lavencos+bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314217ba7a0a7997:0x205a72d70ea08eb5!5m2!4m1!1i2!8m2!3d16.0436211!4d108.247605!16s%2Fg%2F11q41kmdh4!19sChIJl3kKeroXQjERtY6gDtdyWiA?authuser=0&hl=vi&rclk=1,Khách sạn Lavencos biển Mỹ Khê Đà Nẵng,4.8,72,Khách sạn,598 N,
https://www.google.com/maps/place/Danang+Golden+Bay+Hotel/data=!4m10!3m9!1s0x3142180fe0af6541:0x7286a33cefda8ba!5m2!4m1!1i2!8m2!3d16.0977009!4d108.2246456!16s%2Fg%2F11f15k0jvs!19sChIJQWWv4A8YQjERuqj9zjNqKAc?authuser=0&hl=vi&rclk=1,Danang Golden Bay Hotel,4.4,3038,Khách sạn 5 sao,"1,55 Tr",
https://www.google.com/maps/place/Le+House+Hotel+%26+Studio/data=!4m10!3m9!1s0x3142199363a15a35:0xb21435d43cdb7e3a!5m2!4m1!1i2!8m2!3d16.0773965!4d108.1646725!16s%2Fg%2F11h52n734g!19sChIJNVqhY5MZQjEROn7bPNQ1FLI?authuser=0&hl=vi&rclk=1,Le House Hotel & Studio,4.6,59,Khách sạn,258 N,
https://www.google.com/maps/place/Eden+Ocean+View+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x31421774fd18bf0b:0x7b0011a1b0a5d19c!5m2!4m1!1i2!8m2!3d16.0509613!4d108.248331!16s%2Fg%2F11fp1l7z5j!19sChIJC78Y_XQXQjERnNGlsKERAHs?authuser=0&hl=vi&rclk=1,Eden Ocean View Đà Nẵng,4.0,184,Khách sạn 5 sao,649 N,
https://www.google.com/maps/place/The+Herriott+Hotel+%26+Suite/data=!4m10!3m9!1s0x3142178791bc0419:0x95f05bf7e3af77d9!5m2!4m1!1i2!8m2!3d16.0718834!4d108.238671!16s%2Fg%2F11f4wtk8wb!19sChIJGQS8kYcXQjER2Xev4_db8JU?authuser=0&hl=vi&rclk=1,The Herriott Hotel & Suite,4.0,308,Khách sạn 3 sao,616 N,
