link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Madame+L%C3%A2n/data=!4m7!3m6!1s0x31421831ce4d457b:0xc2f54574a65b6322!8m2!3d16.0814063!4d108.2232528!16s%2Fg%2F11b7vz9kgm!19sChIJe0VNzjEYQjERImNbpnRF9cI?authuser=0&hl=vi&rclk=1,Nhà hàng Madame Lân,"4,0",(6.900),Nhà hàng,04 Bạch Đằng
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+L%C3%A0ng+Ngh%E1%BB%87/data=!4m7!3m6!1s0x31421837545e471d:0xd0b89c449b38cb37!8m2!3d16.0751941!4d108.2200866!16s%2Fg%2F11bw20s2p1!19sChIJHUdeVDcYQjERN8s4m0ScuNA?authuser=0&hl=vi&rclk=1,Nhà hàng Làng Nghệ,"4,1",(805),Nhà hàng,"P. Q, 119 Lê Lợi"
https://www.google.com/maps/place/Sky+View+Restaurant/data=!4m7!3m6!1s0x3142179ce12f3489:0xe9d21eb1e28da76e!8m2!3d16.0676095!4d108.2447798!16s%2Fg%2F11gr1h3_31!19sChIJiTQv4ZwXQjERbqeN4rEe0uk?authuser=0&hl=vi&rclk=1,Sky View Restaurant,"4,6",(50),Món ăn sang trọng,216 Võ Nguyên Giáp
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Cabanon+Palace/data=!4m7!3m6!1s0x314219cf845a3c6b:0xc5938cb8fc09c57a!8m2!3d16.0604176!4d108.2134193!16s%2Fg%2F11gr1625yh!19sChIJazxahM8ZQjEResUJ_LiMk8U?authuser=0&hl=vi&rclk=1,Nhà hàng Cabanon Palace,"4,5",(143),Món ăn Pháp,"150-156 Nguyen Van Linh Hai Van Palace building, 6th Floor - ROOFTOP"
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Mr+Anh+-+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91/data=!4m7!3m6!1s0x314219d02e46f057:0x80ff0cbd5d2d20f!8m2!3d16.0677722!4d108.2137944!16s%2Fg%2F11h54mg8z8!19sChIJV_BGLtAZQjERD9LS1cvwDwg?authuser=0&hl=vi&rclk=1,Nhà hàng Mr Anh - 레스토랑,"4,7",(126),Nhà hàng,340 Ông Ích Khiêm Phường Vĩnh Trung
https://www.google.com/maps/place/Khu+V%C4%83n+h%C3%B3a+Du+l%E1%BB%8Bch+Kh%C3%B4ng+Gian+X%C6%B0a/data=!4m7!3m6!1s0x314219001064ce23:0x67d2fa43164ccba6!8m2!3d16.0663007!4d108.18943!16s%2Fg%2F1hhngl_mz!19sChIJI85kEAAZQjERpstMFkP60mc?authuser=0&hl=vi&rclk=1,Khu Văn hóa Du lịch Không Gian Xưa,"4,2",(1.766),Nhà hàng,402 Điện Biên Phủ
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Cafe+V%C6%B0%E1%BB%9Dn+Tr%C3%BAc+L%C3%A2m+Vi%C3%AAn/data=!4m7!3m6!1s0x314219cc61c98a73:0x13d8e177293756b3!8m2!3d16.0816757!4d108.2219332!16s%2Fg%2F1ttpdcbg!19sChIJc4rJYcwZQjERs1Y3KXfh2BM?authuser=0&hl=vi&rclk=1,Nhà Hàng Cafe Vườn Trúc Lâm Viên,"4,1",(1.218),Món ăn Việt Nam,08 Trần Quý Cáp
https://www.google.com/maps/place/The+Golden+Dragon/data=!4m7!3m6!1s0x314219dfb0eb4301:0xd2aed57945cb01aa!8m2!3d16.0483722!4d108.2270056!16s%2Fg%2F11h26_7g4c!19sChIJAUPrsN8ZQjERqgHLRXnVrtI?authuser=0&hl=vi&rclk=1,The Golden Dragon,"4,2",(56),Món ăn Trung Quốc,"Zone of the Villas of Green Island, Lot A1"
https://www.google.com/maps/place/H%E1%BA%A3i+s%E1%BA%A3n+M%E1%BB%99c+qu%C3%A1n/data=!4m7!3m6!1s0x314217721a8aafc7:0x1c948e37d3931fef!8m2!3d16.0640224!4d108.2414548!16s%2Fg%2F11h64qj0wn!19sChIJx6-KGnIXQjER7x-T0zeOlBw?authuser=0&hl=vi&rclk=1,Hải sản Mộc quán,"4,4",(971),Đồ hải sản,26 Tô Hiến Thành
https://www.google.com/maps/place/Red+Sky+Steakhouse/data=!4m7!3m6!1s0x314219cd2416f17f:0x23cfcbfc9375196c!8m2!3d16.062867!4d108.2231386!16s%2Fg%2F1hc10d7m2!19sChIJf_EWJM0ZQjERbBl1k_zLzyM?authuser=0&hl=vi&rclk=1,Red Sky Steakhouse,"4,4",(537),Bít tết,248 Đ. Trần Phú
