link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Ngon/data=!4m7!3m6!1s0x3142191046ff9c69:0xa6b013de97c7c47b!8m2!3d16.0546633!4d108.176697!16s%2Fg%2F1hc2ywqgf!19sChIJaZz_RhAZQjERe8THl94TsKY?authuser=0&hl=vi&rclk=1,Quán Nhậu Ngon,,0,Nhà hàng,92 Bắc Sơn,
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu/data=!4m7!3m6!1s0x31421983005ff9a1:0x471cd11eb80f0e14!8m2!3d16.0381055!4d108.2125307!16s%2Fg%2F11h193bfqp!19sChIJoflfAIMZQjERFA4PuB7RHEc?authuser=0&hl=vi&rclk=1,Quán nhậu,4.0,2,Nhà hàng,40 Đ. Thân Cảnh Phúc,
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+B%C3%ACnh+D%C3%A2n/data=!4m7!3m6!1s0x314219ee34588b35:0x96c5b1ff4c51fa33!8m2!3d16.0315338!4d108.2227528!16s%2Fg%2F1hd_n4d0g!19sChIJNYtYNO4ZQjERM_pRTP-xxZY?authuser=0&hl=vi&rclk=1,Quán Nhậu Bình Dân,4.7,3,Nhà hàng,577B Núi Thành,
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Minh+Ho%C3%A0ng+h%E1%BA%A3i+s%E1%BA%A3n+t%C6%B0%C6%A1i+ngon+gi%C3%A1+r%E1%BA%BB+t%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142193e53134acb:0xc0a3cfef993eca5a!8m2!3d16.0720511!4d108.1945451!16s%2Fg%2F11sr71cwvt!19sChIJy0oTUz4ZQjERWso-me_Po8A?authuser=0&hl=vi&rclk=1,Quán Nhậu Minh Hoàng hải sản tươi ngon giá rẻ tại Đà Nẵng,3.4,9,Nhà hàng,845 Nguyễn Tất Thành,
https://www.google.com/maps/place/Bia+T%C3%B4+L%C3%A3o+%C4%90%E1%BA%A1i/data=!4m7!3m6!1s0x3142183e6d5c0bf5:0xd895cafc9230a065!8m2!3d16.0854973!4d108.2198089!16s%2Fg%2F1hd_1n0zt!19sChIJ9QtcbT4YQjERZaAwkvzKldg?authuser=0&hl=vi&rclk=1,Bia Tô Lão Đại,3.9,387,Món ăn Việt Nam,76 Đ. 3 Tháng 2,
https://www.google.com/maps/place/Qu%C3%A1n+129/data=!4m7!3m6!1s0x314219ed28f5eac3:0x8534308d81cb8b3b!8m2!3d16.0351677!4d108.2144794!16s%2Fg%2F11c5sx2gw3!19sChIJw-r1KO0ZQjERO4vLgY0wNIU?authuser=0&hl=vi&rclk=1,Quán 129,3.9,49,Nhà hàng,"129, Huỳnh Tấn Phát, Phường Hòa Cường Nam, Quận Hải Châu, Thành Phố Đà Nẵng",
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+Hu%E1%BB%87/data=!4m7!3m6!1s0x314217f4500888d1:0x2897a6ddd0bb66d5!8m2!3d16.0867122!4d108.2403263!16s%2Fg%2F1td1yr0z!19sChIJ0YgIUPQXQjER1Wa70N2mlyg?authuser=0&hl=vi&rclk=1,Quán nhậu Huệ,3.9,15,Quán bia,432 Ng. Quyền,
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Minh+%C4%90en+-+c%C6%A1+s%E1%BB%9F+2+-+h%E1%BA%A3i+s%E1%BA%A3n+t%C6%B0%C6%A1i+s%E1%BB%91ng+ngon+b%C3%ACnh+d%C3%A2n+t%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421ff2a712dfb5:0x9b9324cde7cef521!8m2!3d16.1046777!4d108.1364889!16s%2Fg%2F11rngkhfh5!19sChIJtd8Sp_IfQjERIfXO580kk5s?authuser=0&hl=vi&rclk=1,Quán Nhậu Minh Đen - cơ sở 2 - hải sản tươi sống ngon bình dân tại Đà Nẵng,4.6,5,Nhà hàng,"Đường Nguyễn Tất Thành ( Xuân Thiều, Lô 68 Trần Bích San",
https://www.google.com/maps/place/Qu%C3%A1n+Hoa+M%E1%BA%ADp/data=!4m7!3m6!1s0x314219c2652e4ca3:0xc3efd8c285b97760!8m2!3d16.0420549!4d108.2222011!16s%2Fg%2F11cp0b0lqn!19sChIJo0wuZcIZQjERYHe5hcLY78M?authuser=0&hl=vi&rclk=1,Quán Hoa Mập,3.8,196,Quán ăn nhỏ,344 Đ. 2 Tháng 9,
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+9+%C4%90%C3%ADch/data=!4m7!3m6!1s0x314219b44b1ec47b:0xcb0747d97a5a20ca!8m2!3d16.0611449!4d108.2108039!16s%2Fg%2F1hc4by1k1!19sChIJe8QeS7QZQjERyiBaetlHB8s?authuser=0&hl=vi&rclk=1,Quán nhậu 9 Đích,4.0,320,Quán bia,140 Hàm Nghi,
