link,name,avgRating,numOfRating,category,price,plusCode,
https://www.google.com/maps/place/Grand+Sunrise+Boutique/data=!4m10!3m9!1s0x3142177b908e5819:0x43e0baede9e28ba!5m2!4m1!1i2!8m2!3d16.05428!4d108.244645!16s%2Fg%2F11fcrc74c2!19sChIJGViOkHsXQjERuiie3q4LPgQ?authuser=0&hl=vi&rclk=1,Grand Sunrise Boutique,"4,3",(250),Khách sạn 4 sao,542 N,,
https://www.google.com/maps/place/Ph%C3%BAc+Thanh+Hotel/data=!4m10!3m9!1s0x3142177b8ff7cf3d:0x7beeed4dbcdf6786!5m2!4m1!1i2!8m2!3d16.05425!4d108.244369!16s%2Fg%2F11hd4zhn2f!19sChIJPc_3j3sXQjERhmffvE3t7ns?authuser=0&hl=vi&rclk=1,Phúc Thanh Hotel,"4,1",(57),Khách sạn 3 sao,267 N,,
https://www.google.com/maps/place/InterContinental+%C4%90%C3%A0+N%E1%BA%B5ng+Sun+Peninsula+Resort/data=!4m10!3m9!1s0x31423d9513ec9199:0x5ade8a2bd4daad0d!5m2!4m1!1i2!8m2!3d16.1198263!4d108.3071763!16s%2Fm%2F0wxsvlv!19sChIJmZHsE5U9QjERDa3a1CuK3lo?authuser=0&hl=vi&rclk=1,InterContinental Đà Nẵng Sun Peninsula Resort,"4,8",(1.977),Khách sạn 5 sao,"16,5 Tr",,
https://www.google.com/maps/place/Risemount+Premier+Resort+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x3142177c46837343:0xf40f5197d1ba3cb1!5m2!4m1!1i2!8m2!3d16.0546179!4d108.2420798!16s%2Fg%2F11cr_gdp6p!19sChIJQ3ODRnwXQjERsTy60ZdRD_Q?authuser=0&hl=vi&rclk=1,Risemount Premier Resort Đà Nẵng,"4,4",(1.346),Khách sạn 5 sao,"1,04 Tr",,
https://www.google.com/maps/place/Furama+Resort+Danang/data=!4m10!3m9!1s0x31420fdbc8cc38ef:0x9a6a3e31121225d2!5m2!4m1!1i2!8m2!3d16.0399456!4d108.2510681!16s%2Fg%2F1hc12jlwq!19sChIJ7zjMyNsPQjER0iUSEjE-apo?authuser=0&hl=vi&rclk=1,Furama Resort Danang,"4,5",(3.291),Khách sạn 5 sao,"4,15 Tr",,
https://www.google.com/maps/place/Premier+Village+%C4%90%C3%A0+N%E1%BA%B5ng+Resort/data=!4m10!3m9!1s0x314217687f97d183:0xee49ef38ee262430!5m2!4m1!1i2!8m2!3d16.0420899!4d108.2507504!16s%2Fg%2F1ptx9k5_7!19sChIJg9GXf2gXQjERMCQm7jjvSe4?authuser=0&hl=vi&rclk=1,Premier Village Đà Nẵng Resort,"4,6",(1.810),Khách sạn 5 sao,"10,1 Tr",,
https://www.google.com/maps/place/Sandy+Beach+Non+Nuoc+Resort/data=!4m10!3m9!1s0x314210c4cc9d3631:0x51ce799214adcdb!5m2!4m1!1i2!8m2!3d15.9982387!4d108.2716052!16s%2Fg%2F1hhxk1pm1!19sChIJMTadzMQQQjER29xKIZnnHAU?authuser=0&hl=vi&rclk=1,Sandy Beach Non Nuoc Resort,"4,3",(1.672),Khách sạn 4 sao,"1,16 Tr",,
https://www.google.com/maps/place/Vinpearl+Resort+%26+Spa+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314210c248e57855:0xffa04ca7238b3d66!5m2!4m1!1i2!8m2!3d15.9940251!4d108.269555!16s%2Fg%2F11g7zfjj0k!19sChIJVXjlSMIQQjERZj2LI6dMoP8?authuser=0&hl=vi&rclk=1,Vinpearl Resort & Spa Đà Nẵng,"4,6",(1.972),Khách sạn 5 sao,"14,2 Tr",,
https://www.google.com/maps/place/Sheraton+Grand+Danang+Resort/data=!4m10!3m9!1s0x314210e4b8dcf477:0x1810de3c45d77347!5m2!4m1!1i2!8m2!3d15.9806421!4d108.2762838!16s%2Fg%2F11c5s5gxtn!19sChIJd_TcuOQQQjERR3PXRTzeEBg?authuser=0&hl=vi&rclk=1,Sheraton Grand Danang Resort,"4,5",(1.646),Khách sạn 5 sao,"4,68 Tr",,
https://www.google.com/maps/place/Da+Nang+Mikazuki+Japanese+Resorts+%26+Spa/data=!4m10!3m9!1s0x3142190e92159b0d:0x21edb328f124edee!5m2!4m1!1i2!8m2!3d16.0944647!4d108.146087!16s%2Fg%2F11hzv0ksgc!19sChIJDZsVkg4ZQjER7u0k8Siz7SE?authuser=0&hl=vi&rclk=1,Da Nang Mikazuki Japanese Resorts & Spa,"4,3",(279),Khách sạn,"3,26 Tr",,
https://www.google.com/maps/place/The+Ocean+Villas/data=!4m10!3m9!1s0x314211aaf4daa2b5:0x96f5006a00c354a5!5m2!4m1!1i2!8m2!3d15.9748409!4d108.2811759!16s%2Fg%2F1tdx65nz!19sChIJtaLa9KoRQjERpVTDAGoA9ZY?authuser=0&hl=vi&rclk=1,The Ocean Villas,"4,4",(1.593),Khách sạn 5 sao,"2,7 Tr",,
https://www.google.com/maps/place/Hyatt+Regency+Danang+Resort+and+Spa/data=!4m10!3m9!1s0x314210cf6a42c159:0xaeb535cc2b736240!5m2!4m1!1i2!8m2!3d16.0130143!4d108.2641978!16s%2Fg%2F1tp0b4j2!19sChIJWcFCas8QQjERQGJzK8w1ta4?authuser=0&hl=vi&rclk=1,Hyatt Regency Danang Resort and Spa,"4,5",(3.748),Khách sạn 5 sao,"5,03 Tr",,
https://www.google.com/maps/place/Mangala+Zen+Garden+Resort/data=!4m10!3m9!1s0x314210fcdfad150b:0x292dbb21182eb498!5m2!4m1!1i2!8m2!3d15.9783929!4d108.2821336!16s%2Fg%2F11bv30gzp1!19sChIJCxWt3_wQQjERmLQuGCG7LSk?authuser=0&hl=vi&rclk=1,Mangala Zen Garden Resort,"4,4",(223),Khách sạn 4 sao,"4,76 Tr",,
https://www.google.com/maps/place/Naman+Retreat/data=!4m10!3m9!1s0x314210ffff49be83:0x4dc264a06ef8baa5!5m2!4m1!1i2!8m2!3d15.9697155!4d108.2842484!16s%2Fg%2F11b6ljfdzd!19sChIJg75J__8QQjERpbr4bqBkwk0?authuser=0&hl=vi&rclk=1,Naman Retreat,"4,4",(1.728),Khách sạn 5 sao,"3,62 Tr",,
