link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/Asia+Park+-+C%C3%B4ng+vi%C3%AAn+Ch%C3%A2u+%C3%81/data=!4m7!3m6!1s0x314219e7a191cc17:0xe60f91d4055e3074!8m2!3d16.0383924!4d108.2266751!16s%2Fg%2F11c1s0n2xz!19sChIJF8yRoecZQjERdDBeBdSRD-Y?authuser=0&hl=vi&rclk=1,Asia Park - Công viên Châu Á,4.4,7817,Công viên giải trí,1 Phan Đăng Lưu,
https://www.google.com/maps/place/Trung+t%C3%A2m+gi%E1%BA%A3i+tr%C3%AD+Helio+Center/data=!4m7!3m6!1s0x314219cd3d158b2b:0xe320c0f594e6474!8m2!3d16.0370706!4d108.2246866!16s%2Fg%2F11b7795qrj!19sChIJK4sVPc0ZQjERdGROWQ8MMg4?authuser=0&hl=vi&rclk=1,Trung tâm giải trí Helio Center,4.3,2888,Khu vui chơi giải trí,Đ. 2 Tháng 9,
https://www.google.com/maps/place/Khu+Vui+Ch%C6%A1i+Gi%E1%BA%A3i+Tr%C3%AD/data=!4m7!3m6!1s0x31421901d6c78475:0x2d5780a760afabef!8m2!3d16.0667475!4d108.1868756!16s%2Fg%2F11fr3lt3fy!19sChIJdYTH1gEZQjER76uvYKeAVy0?authuser=0&hl=vi&rclk=1,Khu Vui Chơi Giải Trí,5.0,4,Công viên giải trí,478 Điện Biên Phủ,
https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+H%C3%B2a+Ph%C3%BA+Th%C3%A0nh/data=!4m7!3m6!1s0x3141f766a93b0bff:0x9888ed18b7f5e28!8m2!3d15.9567747!4d107.9911844!16s%2Fg%2F12hln2nvt!19sChIJ_ws7qWb3QTERKF5_i9GOiAk?authuser=0&hl=vi&rclk=1,Khu du lịch Hòa Phú Thành,4.3,233,Nhà hàng,Quốc lộ 14G,
https://www.google.com/maps/place/Fantasy+Park/data=!4m7!3m6!1s0x3141f6fcd2ca1de9:0x8ab7af426e736a44!8m2!3d15.9972041!4d107.988763!16s%2Fg%2F11f3qs35jx!19sChIJ6R3K0vz2QTERRGpzbkKvt4o?authuser=0&hl=vi&rclk=1,Fantasy Park,4.3,324,Điểm thu hút khách du lịch,XXWQ+VGJ,
https://www.google.com/maps/place/La%CC%80ng+Bi%CC%81ch+ho%CC%A3a+%C4%90a%CC%80+N%C4%83%CC%83ng/data=!4m7!3m6!1s0x314219cc7844ab91:0x436db6a820a059c!8m2!3d16.0607217!4d108.2200138!16s%2Fg%2F11hbq9ysf8!19sChIJkatEeMwZQjERnAUKgmrbNgQ?authuser=0&hl=vi&rclk=1,Làng Bích họa Đà Nẵng,4.2,533,Điểm thu hút khách du lịch,Kiệt 75 Nguyễn Văn Linh,
https://www.google.com/maps/place/Cung+Thi%E1%BA%BFu+Nhi+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219e86774bd2f:0x57338b4658ba024f!8m2!3d16.0387805!4d108.2254072!16s%2Fg%2F11c1b36mst!19sChIJL710Z-gZQjERTwK6WEaLM1c?authuser=0&hl=vi&rclk=1,Cung Thiếu Nhi Đà Nẵng,4.4,1250,Điểm thu hút khách du lịch,2a Phan Đăng Lưu,
https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+Su%E1%BB%91i+L%C6%B0%C6%A1ng+-+Hai+Van+Park/data=!4m7!3m6!1s0x314221a5b1f3a2f3:0x26049ed08a3a111b!8m2!3d16.1566197!4d108.1093217!16s%2Fg%2F1thktrhs!19sChIJ86LzsaUhQjERGxE6itCeBCY?authuser=0&hl=vi&rclk=1,Khu Du Lịch Sinh Thái Suối Lương - Hai Van Park,4.0,1121,Điểm thu hút khách du lịch,Suối Lương,
https://www.google.com/maps/place/Sun+World+BaNa+Hills/data=!4m7!3m6!1s0x3141f60e6b3844c9:0x5c53b85f61797909!8m2!3d16.0265401!4d108.032604!16s%2Fg%2F11b6_zyfvd!19sChIJyUQ4aw72QTERCXl5YV-4U1w?authuser=0&hl=vi&rclk=1,Sun World BaNa Hills,4.4,24412,Công viên giải trí,Tuyến cáp treo lên Bà Nà Hills,
https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+K%E1%BB%B3+Quan/data=!4m7!3m6!1s0x3142198d74e5a281:0x24e8ff134e9f0079!8m2!3d16.0988248!4d108.224412!16s%2Fg%2F11g088rcwq!19sChIJgaLldI0ZQjEReQCfThP_6CQ?authuser=0&hl=vi&rclk=1,Công viên Kỳ Quan,4.4,537,Điểm thu hút khách du lịch,01 Lê Văn Duyệt,
